"","x"
"353","4930417H01Rik"
"354","4930422M22Rik"
"355","4930426I24Rik"
"356","4930430E12Rik"
"357","4930430F08Rik"
"358","4930431P03Rik"
"359","4930431P19Rik"
"360","4930432J09Rik"
"361","4930432K21Rik"
"362","4930438A08Rik"
"363","4930440I19Rik"
"364","4930445E18Rik"
"365","4930447K03Rik"
"366","4930447M23Rik"
"367","4930448A20Rik"
"368","4930451G09Rik"
"369","4930453N24Rik"
"370","4930455C13Rik"
"371","4930455G09Rik"
"372","4930458D05Rik"
"373","4930466K18Rik"
"374","4930467E23Rik"
"375","4930469K13Rik"
"376","4930471E15Rik"
"377","4930471E19Rik"
"378","4930473A02Rik"
"379","4930477G07Rik"
"380","4930479D17Rik"
"381","4930481A15Rik"
"382","4930481B07Rik"
"383","4930483K19Rik"
"384","4930486L24Rik"
"385","4930488N15Rik"
"386","4930500F10Rik"
"387","4930503L19Rik"
"388","4930505N22Rik"
"389","4930506C21Rik"
"390","4930507D05Rik"
"391","4930509G22Rik"
"392","4930512H18Rik"
"393","4930512M02Rik"
"394","4930513N10Rik"
"395","4930515G01Rik"
"396","4930516B21Rik"
"397","4930517E14Rik"
"398","4930517G19Rik"
"399","4930518I15Rik"
"400","4930519P11Rik"
"401","4930520O04Rik"
"402","4930522L14Rik"
"403","4930523C07Rik"
"404","4930524O07Rik"
"405","4930525G20Rik"
"406","4930526A20Rik"
"407","4930526L06Rik"
"408","4930529C04Rik"
"409","4930532G15Rik"
"410","4930533B01Rik"
"411","4930539J05Rik"
"412","4930547M16Rik"
"413","4930549G23Rik"
"414","4930550C14Rik"
"415","4930551O13Rik"
"416","4930555A03Rik"
"417","4930556H04Rik"
"418","4930556J24Rik"
"419","4930556M19Rik"
"420","4930557K07Rik"
"421","4930558J18Rik"
"422","4930562C15Rik"
"423","4930563E22Rik"
"424","4930565N06Rik"
"425","4930568A12Rik"
"426","4930577N17Rik"
"427","4930578M01Rik"
"428","4930578N18Rik"
"429","4930579C12Rik"
"430","4930579D07Rik"
"431","4930579G18Rik"
"432","4930579G24Rik"
"433","4930579K19Rik"
"434","4930581F22Rik"
"435","4930589L23Rik"
"436","4930589O11Rik"
"437","4930590J08Rik"
"438","4930594C11Rik"
"439","4930594M22Rik"
"440","4930596I21Rik"
"441","4930597O21Rik"
"442","4930599N23Rik"
"443","4931406C07Rik"
"444","4931406P16Rik"
"445","4931413K12Rik"
"446","4931414P19Rik"
"447","4931422A03Rik"
"448","4931428F04Rik"
"449","4931440P22Rik"
"450","4932422M17Rik"
"451","4932438A13Rik"
"452","4932438H23Rik"
"453","4932441J04Rik"
"454","4932442E05Rik"
"455","4932443L11Rik"
"456","4933404O12Rik"
"457","4933406C10Rik"
"458","4933406P04Rik"
"459","4933407K13Rik"
"460","4933408J17Rik"
"461","4933411K16Rik"
"462","4933412E12Rik"
"463","4933413C19Rik"
"464","4933413J09Rik"
"465","4933416M07Rik"
"466","4933417C20Rik"
"467","4933417D19Rik"
"468","4933421O10Rik"
"469","4933423P22Rik"
"470","4933424G06Rik"
"471","4933424M12Rik"
"472","4933426B08Rik"
"473","4933427D14Rik"
"474","4933430I17Rik"
"475","4933431C10Rik"
"476","4933431E20Rik"
"477","4933431G14Rik"
"478","4933431K14Rik"
"479","4933432I03Rik"
