"","x"
"539","Clec4a1"
"540","Clec4a2"
"541","Clec4d"
"542","Clec4e"
"543","Clec4n"
"544","Clec5a"
"545","Clic4"
"546","Clic5"
"547","Clint1"
"548","Clip2"
"549","Clmp"
"550","Cmklr1"
"551","Cmpk2"
"552","Cmss1"
"553","Cmtm6"
"554","Cmtr1"
"555","Cndp2"
"556","Cnep1r1"
"557","Cnih4"
"558","Cnksr1"
"559","Cnn3"
"560","Cnot4"
"561","Cnot7"
"562","Cnp"
"563","Cntnap3"
"564","Cntrl"
"565","Coa5"
"566","Coch"
"567","Cog4"
"568","Col12a1"
"569","Col18a1"
"570","Col19a1"
"571","Col1a1"
"572","Col1a2"
"573","Col27a1"
"574","Col3a1"
"575","Col5a1"
"576","Col5a2"
"577","Col5a3"
"578","Col6a1"
"579","Col6a3"
"580","Col8a1"
"581","Col9a3"
"582","Cop1"
"583","Copa"
"584","Copb2"
"585","Cope"
"586","Copg1"
"587","Cops5"
"588","Coq10b"
"589","Coq2"
"590","Coq3"
"591","Coro2a"
"592","Cox11"
"593","Cox17"
"594","Cox18"
"595","Cox20"
"596","Cox6a2"
"597","Cp"
"598","Cpd"
"599","Cpeb4"
"600","Cplx2"
"601","Cpne1"
"602","Cpne2"
"603","Cpne3"
"604","Cpsf2"
"605","Crbn"
"606","Creb3"
"607","Creb3l1"
"608","Creb3l2"
"609","Creb3l4"
"610","Creb5"
"611","Crebbp"
"612","Creg2"
"613","Creld2"
"614","Crem"
"615","Cript"
"616","Crk"
"617","Crkl"
"618","Crlf2"
"619","Crlf3"
"620","Crnkl1"
"621","Crry-ps"
"622","Crybg1"
"623","Csde1"
"624","Csf1"
"625","Csf2"
"626","Csf2ra"
"627","Csf2rb"
"628","Csf2rb2"
"629","Csf3"
"630","Csf3r"
"631","Csgalnact1"
"632","Csn1s1"
"633","Csnk1a1"
"634","Csnk1g1"
"635","Csnk1g3"
"636","Csprs"
"637","Csrnp1"
"638","Cst7"
"639","Csta2"
"640","Cstb"
"641","Cstdc4"
"642","CT010467.1"
"643","Ctla2a"
"644","Ctla2b"
"645","Ctsc"
"646","Ctsh"
"647","Ctsk"
"648","Ctsl"
"649","Ctso"
"650","Ctss"
"651","Ctsz"
"652","Cttn"
"653","Ctu1"
"654","Cul1"
"655","Cul2"
"656","Cul3"
"657","Cutc"
"658","Cwc15"
"659","Cwc25"
"660","Cwf19l2"
"661","Cx3cl1"
"662","Cxcl1"
"663","Cxcl11"
"664","Cxcl16"
"665","Cxcl2"
"666","Cxcl3"
"667","Cxcl5"
"668","Cxcl9"
"669","Cxcr5"
"670","Cxcr6"
"671","Cyb5r3"
"672","Cybb"
"673","Cybc1"
"674","Cycs"
"675","Cyfip1"
"676","Cyp1b1"
"677","Cyp26c1"
"678","Cyp4v3"
"679","Cysltr1"
"680","Cysltr2"
"681","Cyth1"
"682","Cyyr1"
"683","D16Ertd472e"
"684","D17H6S53E"
"685","D1Ertd622e"
"686","Daam1"
"687","Daxx"
"688","Dbnl"
"689","Dcaf1"
"690","Dcaf13"
"691","Dcakd"
"692","Dcbld2"
"693","Dck"
"694","Dclre1c"
"695","Dcn"
"696","Dcp1a"
"697","Dcp2"
"698","Dctn4"
"699","Dcun1d3"
"700","Ddc"
"701","Ddit3"
"702","Ddit4"
"703","Ddx24"
"704","Ddx3y"
"705","Ddx4"
"706","Ddx42"
"707","Ddx58"
"708","Ddx6"
"709","Ddx60"
"710","Dedd"
"711","Degs2"
"712","Dennd1b"
"713","Dennd2a"
"714","Dennd6b"
"715","Denr"
"716","Derl2"
"717","Dgat2"
"718","Dgka"
"719","Dgkh"
"720","Dhh"
"721","Dhrs9"
"722","Dhx38"
"723","Dhx58"
"724","Dhx58os"
"725","Diaph1"
"726","Diaph2"
"727","Dld"
"728","Dlg3"
"729","Dlgap2"
"730","Dlgap3"
"731","Dlgap4"
"732","Dll1"
"733","Dll4"
"734","Dmkn"
"735","Dmtf1"
"736","Dmxl2"
"737","Dnah5"
"738","Dnah7a"
"739","Dnah7b"
"740","Dnaja1"
"741","Dnaja2"
"742","Dnajb11"
"743","Dnajb2"
"744","Dnajb3"
"745","Dnajb6"
"746","Dnajb6-ps"
"747","Dnajb9"
"748","Dnajc1"
"749","Dnajc13"
"750","Dnajc17"
"751","Dnajc21"
"752","Dnajc4"
"753","Dnajc7"
"754","Dnase1l3"
"755","Dnhd1"
"756","Dnm1l"
"757","Dnm3"
"758","Dnm3os"
"759","Dnmt3c"
"760","Dnmt3l"
"761","Dnttip2"
"762","Dock10"
"763","Dock4"
"764","Dok7"
"765","Dop1b"
"766","Dpf2"
"767","Dpm1"
"768","Dpy19l2"
"769","Dpy19l3"
"770","Dpysl2"
"771","Dpysl3"
"772","Dr1"
"773","Dram1"
"774","Dram2"
"775","Draxin"
"776","Dst"
"777","Dtwd1"
"778","Dtx2"
"779","Dtx3l"
"780","Dubr"
"781","Dus2"
"782","Dusp1"
"783","Dusp10"
"784","Dusp14"
"785","Dusp16"
"786","Dusp2"
"787","Dusp28"
