"","x"
"491","Apol7c"
"492","Gm10553"
"493","Jak2"
"494","Unc80"
"495","Pnp2"
"496","Gm12250"
"497","Rab11fip1"
"498","Nt5c3"
"499","Ccl4"
"500","Tlr3"
"501","Nr1h3"
"502","Rasip1"
"503","Slfn8"
"504","Mill2"
"505","Slamf7"
"506","Kcnab1"
"507","Slamf9"
"508","Cish"
"509","Cldn23"
"510","C3"
"511","Cdh1"
"512","Kcnh4"
"513","Spire2"
"514","Peak1os"
"515","Aldh1b1"
"516","Gm12764"
"517","Filip1"
"518","Ptpn14"
"519","Orm1"
"520","Lrrc63"
"521","Epb41l4b"
"522","Pla2g4c"
"523","Fcgr1"
"524","Fas"
"525","Ggct"
"526","Six1"
"527","Vegfc"
"528","Sowahc"
"529","Ccnd2"
"530","Unc93a2"
"531","Bambi-ps1"
"532","Fam20a"
"533","AC132444.5"
"534","Clec2d"
"535","Stk39"
"536","Pmepa1"
"537","Phlda1"
"538","Ntn1"
"539","Tgm2"
"540","Phf11c"
"541","Nox1"
"542","Cdkn1a"
"543","Tcp10b"
"544","Klra2"
"545","Apod"
"546","Jam2"
"547","Ildr1"
"548","Csrnp1"
"549","Schip1"
"550","Flnb"
"551","Gm10655"
"552","AC147806.2"
"553","Cdh5"
"554","Jag1"
"555","Pla2r1"
"556","Lag3"
"557","Fstl1"
"558","Piwil4"
"559","Slfn5"
"560","Tnfrsf1b"
"561","Olfr1033"
"562","Dgat2"
"563","Nod2"
"564","Trim30d"
"565","Antxr1"
"566","Sp140"
"567","Filip1l"
"568","Arhgef37"
"569","Perm1"
"570","Rhou"
"571","Myo3b"
"572","Gca"
"573","Ell2"
"574","Ms4a6d"
"575","Ddit4"
"576","Spic"
"577","Spink2"
"578","Slamf8"
"579","Gadd45g"
"580","Ccn4"
"581","Flt1"
"582","Mmp12"
"583","Rnase10"
"584","Pim1"
"585","Parp11"
"586","Loxl2"
"587","Spaca6"
"588","Msantd3"
"589","AC139579.1"
"590","Nfkbia"
