"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"256","Gm4705",43.7249431636779,-1.618103753146,0.292067781297892,-5.54016518342238,3.02186471643663e-08,5.00241118599307e-06
"257","Gm4742",43.9599906548483,-6.81742418473238,1.90135950658793,-3.58555242241722,0.000336365424134891,0.0168871324018757
"258","Gm47445",20.2203351846015,1.73376264233758,0.485884967370725,3.56825742463183,0.000359363344944326,0.017561971977
"259","Gm47922",27.7035550047484,-2.25732021370967,0.682083621899128,-3.30944790526506,0.00093480160200684,0.0354164524471663
"260","Gm48274",8.3052003658283,-1.48598331089328,0.467393738198221,-3.17929657470739,0.00147632954266646,0.0480985023874046
"261","Gm48496",10.5363765941537,-1.73925159915003,0.544705957882119,-3.19301005245555,0.00140798044972754,0.04703934684317
"262","Gm49226",4.24711351907888,4.89206833946207,1.4629819012231,3.34390215994616,0.000826088656817468,0.0320917105053298
"263","Gm49599",5.57322882358909,4.20315898993674,1.32114933610119,3.18144124595375,0.00146544244110203,0.0479991173890371
"264","Gm49817",2201.1394960445,1.05274958517623,0.319245023302685,3.29762254172428,0.000975071163174769,0.0365417524597441
"265","Gm49980",4669.05534121506,-2.39537724338446,0.281683683967696,-8.50378413702929,1.83508620008618e-17,6.74394178531671e-15
"266","Gm50012",80.2578484704473,1.54930512901793,0.387964303148857,3.99342185980313,6.51265475728382e-05,0.00451296116160427
"267","Gm50020",103.031197076991,7.01859212129772,0.86193144299296,8.14286586056827,3.86029863232708e-16,1.25598186885132e-13
"268","Gm50022",274.08556651644,-12.6720954968036,1.23960497381219,-10.222688489086,1.56927074307492e-24,8.48098526588284e-22
"269","Gm50242",8.01910783014962,-7.21914713569462,1.40313572898127,-5.14500984230229,2.67506785484325e-07,3.79452313448852e-05
"270","Gm5586",608.109898991288,-2.57459420960398,0.16209447338986,-15.8832942034472,8.27176875421818e-57,2.53322918097932e-53
"271","Gm5637",141.788204371449,-0.675846101189578,0.168557556704008,-4.00958648431516,6.08251726452047e-05,0.00424966748043968
"272","Gm5815",32.7196190925257,-4.52087477122415,0.529065653342786,-8.54501656393679,1.28517840039865e-17,4.81941900149492e-15
"273","Gm5871",95.1476211918932,-6.45846860804143,0.621653159128686,-10.3891832820309,2.77720965430312e-25,1.54640083023697e-22
"274","Gm5909",59.297295574064,0.871460767698341,0.248342013775177,3.50911533030923,0.000449599900537936,0.0204997473260163
"275","Gm5920",1058.92691550122,0.233514899587147,0.0692580309828973,3.37166529676264,0.000747151881393675,0.0300413912923606
"276","Gm6034",150.944638897406,-4.33790779154409,0.933716087253075,-4.64585311398661,3.38673923637838e-06,0.00035560761981973
"277","Gm6051",71.6593323407908,0.896080123907532,0.238985884639044,3.74951066779923,0.000177179960027629,0.0103027903971762
