"","x"
"697","Coq8a"
"698","Coro1c"
"699","Coro2b"
"700","Cox6b2"
"701","Cpeb1"
"702","Cped1"
"703","Cpox"
"704","Cpped1"
"705","Cpsf1"
"706","Cpt1b"
"707","Cpt1c"
"708","Cpxm1"
"709","Cracr2a"
"710","Cracr2b"
"711","Cradd"
"712","Crat"
"713","Creld1"
"714","Crip1"
"715","Crocc"
"716","Crot"
"717","Crtap"
"718","Crtc1"
"719","Cryab"
"720","Crybg2"
"721","Cryl1"
"722","Cryz"
"723","Cryzl2"
"724","Csad"
"725","Cse1l"
"726","Csgalnact2"
"727","Csnk1e"
"728","Csnk1g2"
"729","Cspg5"
"730","Csrp2"
"731","Cstf1"
"732","Ctbp1"
"733","Ctc1"
"734","Ctdsp1"
"735","Ctdsp2"
"736","Ctdsp2-ps"
"737","Ctdspl"
"738","Ctnnbip1"
"739","Ctnnd2"
"740","Ctns"
"741","Ctps"
"742","Ctse"
"743","Ctsf"
"744","Ctsg"
"745","Ctxn1"
"746","Cuedc1"
"747","Cul7"
"748","Cul9"
"749","Cuta"
"750","Cxcr4"
"751","Cxxc5"
"752","Cyb561d2"
"753","Cyb5b"
"754","Cyb5rl"
"755","Cyhr1"
"756","Cyp20a1"
"757","Cyp27a1"
"758","Cyp2d22"
"759","Cyp2j9"
"760","Cyp2s1"
"761","Cyp2t4"
"762","Cyp2u1"
"763","Cyp39a1"
"764","Cyp4f16"
"765","Cyp4f17"
"766","Cyp4f37"
"767","Cyp51"
"768","Cyren"
"769","Cytip"
"770","D10Wsu102e"
"771","D2hgdh"
"772","D3Ertd751e"
"773","D5Ertd605e"
"774","Dab2"
"775","Dab2ip"
"776","Dact1"
"777","Dact3"
"778","Dag1"
"779","Dagla"
"780","Daglb"
"781","Dalrd3"
"782","Dancr"
"783","Dand5"
"784","Dars2"
"785","Dazap1"
"786","Dbf4"
"787","Dbi"
"788","Dbndd2"
"789","Dbp"
"790","Dcaf4"
"791","Dcaf8"
"792","Dchs1"
"793","Dclk2"
"794","Dcps"
"795","Dctd"
"796","Dctpp1"
"797","Dcun1d4"
"798","Ddb2"
"799","Ddhd2"
"800","Ddias"
"801","Ddit4l"
"802","Ddx11"
"803","Ddx59"
"804","Deaf1"
"805","Decr1"
"806","Dedd2"
"807","Def6"
"808","Def8"
"809","Dele1"
"810","Dennd11"
"811","Dennd2c"
"812","Dennd2d"
"813","Dennd4c"
"814","Dennd5b"
"815","Depdc1a"
"816","Depdc1b"
"817","Depdc5"
"818","Depdc7"
"819","Deptor"
"820","Dexi"
"821","Dffa"
"822","Dffb"
"823","Dgcr6"
"824","Dgcr8"
"825","Dgkd"
"826","Dgkg"
"827","Dgkz"
"828","Dhcr24"
"829","Dhcr7"
"830","Dhodh"
"831","Dhrs11"
"832","Dhrs3"
"833","Dhrs4"
"834","Dhrs7"
"835","Dhtkd1"
"836","Dhx32"
"837","Dhx33"
"838","Dhx35"
"839","Dhx37"
"840","Dhx9"
"841","Diaph3"
"842","Dip2a"
"843","Dip2b"
"844","Dipk1a"
"845","Dipk1b"
"846","Dipk2a"
"847","Dis3"
"848","Disp1"
"849","Dkc1"
"850","Dkk2"
"851","Dlg4"
"852","Dlgap5"
"853","Dmac1"
"854","Dmac2"
"855","Dmac2l"
"856","Dmpk"
"857","Dmrta2"
"858","Dna2"
"859","Dnaaf2"
"860","Dnah8"
"861","Dnajb13"
"862","Dnajb14"
"863","Dnajb4"
"864","Dnajb5"
"865","Dnajc27"
"866","Dnajc28"
"867","Dnajc9"
"868","Dnase1"
"869","Dnase2a"
"870","Dnd1"
"871","Dnmbp"
"872","Dnmt1"
"873","Dnmt3a"
"874","Dnmt3aos"
"875","Dnmt3b"
"876","Dnph1"
"877","Dock1"
"878","Dock3"
"879","Dock5"
"880","Dock9"
"881","Dok2"
"882","Dolk"
"883","Dolpp1"
"884","Dpagt1"
"885","Dph2"
"886","Dph7"
"887","Dpm3"
"888","Dpp7"
"889","Dppa3"
"890","Dpy30"
"891","Drd1"
"892","Dscam"
"893","Dscc1"
"894","Dsn1"
"895","Dstyk"
"896","Dtl"
"897","Dtwd2"
"898","Dtx3"
"899","Dtymk"
"900","Dus3l"
"901","Dusp18"
"902","Dusp22"
"903","Dusp23"
"904","Dusp3"
"905","Dusp7"
"906","Dusp9"
"907","Dut"
"908","Dvl2"
"909","Dym"
"910","Dynll2"
"911","Dynlt1-ps1"
"912","Dynlt1a"
"913","Dynlt1b"
"914","Dynlt1c"
"915","Dynlt1f"
"916","Dyrk1b"
"917","Dyrk3"
"918","Dysf"
"919","Dzip1"
"920","E2f1"
"921","E2f2"
"922","E2f6"
"923","E2f7"
"924","E2f8"
"925","Ear2"
"926","Ebp"
"927","Ebpl"
"928","Ech1"
"929","Echdc1"
"930","Echs1"
"931","Ecsit"
"932","Ect2"
"933","Eda"
"934","Edaradd"
"935","Edil3"
"936","Eef1aknmt"
"937","Eef2"
"938","Eef2-ps2"
"939","Eef2k"
"940","Eefsec"
"941","Eepd1"
"942","Efcab11"
"943","Efcab12"
"944","Efcab7"
"945","Efemp2"
"946","Egf"
"947","Egfl7"
"948","Egfr"
"949","Egr3"
"950","Ehhadh"
"951","Ehmt1"
"952","Ei24"
"953","Eid1"
"954","Eid2"
"955","Eid2b"
"956","Eif2a"
"957","Eif2ak3"
"958","Eif2ak4"
"959","Eif3f"
"960","Eif4b"
"961","Eif4ebp2"
"962","Eif5a2"
"963","Elane"
"964","Elavl4"
"965","Eldr"
"966","Elf2"
"967","Elfn2"
"968","Ell"
"969","Elmo2"
"970","Elmod3"
"971","Elmsan1"
"972","Elovl1"
"973","Elovl5"
"974","Elovl6"
"975","Elovl7"
"976","Elp4"
"977","Elp6"
"978","Emb"
"979","Emc10"
"980","Emc8"
"981","Emc9"
"982","Eme1"
"983","Emilin1"
"984","Eml5"
"985","Enc1"
"986","Endog"
"987","Engase"
"988","Enho"
"989","Enkd1"
"990","Eno3"
"991","Enoph1"
"992","Enpp1"
"993","Entpd1"
"994","Entpd5"
"995","Entpd6"
"996","Epas1"
"997","Epb41"
"998","Epb41l4aos"
"999","Epdr1"
"1000","Ephb2"
"1001","Ephb6"
"1002","Ephx1"
"1003","Epm2a"
"1004","Epm2aip1"
"1005","Epn1"
"1006","Epn2"
"1007","Epop"
"1008","Epor"
"1009","Eps8"
"1010","Ercc5"
"1011","Ercc6l"
"1012","Erdr1"
"1013","Erf"
"1014","Erg28"
"1015","Eri1"
"1016","Eri2"
"1017","Eri3"
"1018","Ermard"
"1019","Erp29"
"1020","Esco2"
"1021","Espl1"
"1022","Espn"
"1023","Esr1"
"1024","Etaa1"
"1025","Etfbkmt"
"1026","Etfbl"
"1027","Ethe1"
"1028","Etl4"
"1029","Ets1"
"1030","Etv1"
"1031","Etv5"
"1032","Exo1"
"1033","Exoc3l2"
