"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm37261",3.57846227885113,-0.621380151294444,1.3360241344431,-0.465096501833371,0.641862350997936,0.74744405656064
"Gm37262",1.3003768930728,1.92757374117499,2.14160741510435,0.900059332807768,0.368088676366608,NA
"Gm37266",0.456547329370489,3.06202512058282,5.82963342310029,0.52525174369444,0.5994081987133,NA
"Gm37274",8.29327401151972,3.28362931082473,0.845286355490591,3.88463541318961,0.000102483560982484,0.000328573369012441
"Gm37277",2.52449276626496,1.60438528778204,1.12544439777289,1.42555713188222,0.153996217720943,0.245995946200353
"Gm37282",0.661273302829223,0.0185832499694253,1.73957665132042,0.0106826278424234,0.991476658287918,NA
"Gm37284",0.701906908370719,3.06205331029692,5.36644239041695,0.570592785224889,0.568275710268828,NA
"Gm37285",24.9230570663145,1.76074200242126,0.7929273704574,2.22055899193589,0.0263808459252102,0.0535553338327589
"Gm37289",1.73719483499682,0.589407026105344,2.43150630656611,0.242404070478325,0.808467080633178,0.874240995084509
"Gm37292",2.87707636230018,-1.79972411886778,1.7400350760955,-1.03430335606005,0.30099436842061,0.421791880243826
"Gm37296",9.58236434848563,3.07376023953809,0.847974742552753,3.62482522803074,0.000289156930243832,0.000860509605373774
"Gm37298",0.844692098589303,-1.86340039263796,5.22036506247158,-0.356948291994686,0.721130516045534,NA
"Gm37303",6.11630903820934,0.178311898638534,0.78313759428956,0.227689105897532,0.819887942246065,0.881862192407465
"Gm37305",420.247280432935,0.685814991439891,0.187327726941984,3.66104368336403,0.000251189922324262,0.000754291888353622
"Gm37308",1.87613528564185,-2.61426077164111,1.48596154147661,-1.7593058088457,0.078525580497788,0.138800059411058
"Gm37309",18.9208009248503,0.244489356755402,0.464507989854857,0.526340476579955,0.598651664585054,0.711320209580615
"Gm37311",0.486036135114468,0.621456918483872,5.82951351163443,0.10660527971049,0.915102129854769,NA
"Gm37313",2.42355973983872,-1.09818963148099,2.02212405669108,-0.543087170071069,0.587069785812905,0.701789591177466
"Gm37314",1.3294360354121,-1.96805091807698,2.3651915133479,-0.832089455323313,0.405358453323104,0.530631207993795
"Gm37317",0.193021894166771,-2.86380277956989,5.79990058806614,-0.493767563096244,0.621470343637824,NA
"Gm37320",10.151952568248,2.01316139413754,0.70926807469816,2.83836459859592,0.00453453535560739,0.0109099364406304
"Gm37321",1.11760502996342,3.0610088666649,3.51724293507346,0.870286449690734,0.384143882148435,NA
"Gm37328",0.994640547249525,0.605055762136252,4.59049914217172,0.131806094151671,0.895137666175069,NA
"Gm37333",15.6874012620876,-0.584012972625932,0.949231771697683,-0.615248024812144,0.538390936397206,0.657911390058482
"Gm37334",0.568808142510106,0.604893707023836,5.88942037299024,0.102708529653948,0.918194303765842,NA
"Gm37336",0.921231247723855,0.606218194409338,4.30509669210759,0.140814071730538,0.888016826202023,NA
"Gm37339",0.970624780547551,0.592019989598145,2.21209809530645,0.267628271483201,0.788985467039908,NA
"Gm37342",0.858063108878667,-1.2768710182774,4.39409523692856,-0.29058792525624,0.771366496015394,NA
"Gm37347",0.2910972934784,-0.356637298822267,5.88942037387729,-0.0605555854705401,0.951713146230467,NA
"Gm37348",0.643406313889238,-4.60097826955821,5.77931459053079,-0.796111406895336,0.425967284638408,NA
